workload,name,RunTime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=ERROR,threads,interval
workloada,alaska,6776.0,14757.969303423848,20543.0,68.0856252738159,48.0,4047.0,96.0,130.0,20543.0,29488.0,1,750
workloada,baseline,6917.0,14457.134595923088,20356.0,70.47003340538416,44.0,37055.0,104.0,143.0,20356.0,29532.0,1,750
workloada,alaska,6183.0,16173.378618793466,20551.0,62.00189771787261,46.0,2399.0,90.0,129.0,20551.0,29127.0,2,750
workloada,baseline,5985.0,16708.43776106934,20784.0,58.95419553502694,45.0,924.0,86.0,135.0,20784.0,29148.0,2,750
workloada,alaska,6940.0,14409.22190201729,20409.0,70.53584203047674,49.0,22447.0,94.0,132.0,20409.0,29456.0,4,750
workloada,baseline,5971.0,16747.613465081227,20403.0,60.752144292506,44.0,29039.0,96.0,132.0,20403.0,29319.0,4,750
workloada,alaska,7086.0,14112.334180073383,20653.0,71.41897060959667,49.0,13735.0,104.0,144.0,20653.0,29703.0,8,750
workloada,baseline,5808.0,17217.63085399449,20496.0,58.935987509758,43.0,34751.0,81.0,127.0,20496.0,29588.0,8,750
workloada,alaska,6189.0,16157.699143641945,20516.0,63.91699161629948,48.0,23103.0,91.0,130.0,20516.0,29527.0,16,750
workloada,baseline,6222.0,16072.002571520412,20620.0,62.75969932104753,46.0,13415.0,88.0,125.0,20620.0,29389.0,16,750
workloada,alaska,6414.0,15590.894917368258,20506.0,66.01506876036282,47.0,37055.0,89.0,138.0,20506.0,29482.0,32,750
workloada,baseline,6146.0,16270.745200130166,20476.0,60.76416292244579,45.0,759.0,94.0,140.0,20476.0,29471.0,32,750
workloada,alaska,6690.0,14947.683109118087,20682.0,67.70147954743256,47.0,2175.0,95.0,131.0,20682.0,29241.0,1,850
workloada,baseline,6051.0,16526.194017517766,20526.0,60.00633343077073,45.0,759.0,89.0,146.0,20526.0,29614.0,1,850
workloada,alaska,6129.0,16315.875346712352,20505.0,61.203072421360645,46.0,2221.0,89.0,132.0,20505.0,29501.0,2,850
workloada,baseline,6031.0,16580.9981760902,20619.0,59.497356806828655,45.0,790.0,84.0,141.0,20619.0,29524.0,2,850
workloada,alaska,6524.0,15328.019619865114,20545.0,64.6307130688732,47.0,2221.0,90.0,132.0,20545.0,29406.0,4,850
workloada,baseline,5916.0,16903.313049357675,20655.0,58.949987896393125,42.0,2519.0,99.0,148.0,20655.0,29588.0,4,850
workloada,alaska,6794.0,14718.869590815426,20443.0,68.90324316391919,49.0,13263.0,96.0,132.0,20443.0,29282.0,8,850
workloada,baseline,6448.0,15508.684863523573,20472.0,65.38716295427902,46.0,36575.0,88.0,139.0,20472.0,29610.0,8,850
workloada,alaska,6911.0,14469.68600781363,20593.0,69.88437818676249,50.0,13359.0,102.0,143.0,20593.0,29488.0,16,850
workloada,baseline,6178.0,16186.468112657818,20726.0,60.879764546945864,44.0,815.0,84.0,127.0,20726.0,29634.0,16,850
workloada,alaska,6103.0,16385.384237260365,20434.0,62.03479494959382,46.0,14391.0,93.0,146.0,20434.0,29580.0,32,850
workloada,baseline,6013.0,16630.633627141193,20495.0,62.57277384727983,45.0,34783.0,94.0,139.0,20495.0,29494.0,32,850
workloada,alaska,7048.0,14188.422247446084,20603.0,70.91515798670096,49.0,13567.0,99.0,132.0,20603.0,29407.0,1,950
workloada,baseline,6373.0,15691.197238349287,20441.0,62.70793992466122,44.0,13391.0,86.0,142.0,20441.0,29369.0,1,950
workloada,alaska,6058.0,16507.09805216243,20561.0,62.325227372209525,47.0,34143.0,90.0,132.0,20561.0,29440.0,2,950
workloada,baseline,7008.0,14269.406392694063,20639.0,70.76190706914095,49.0,23807.0,97.0,138.0,20639.0,29683.0,2,950
workloada,alaska,6141.0,16283.992835043153,20470.0,62.75984367366878,48.0,34783.0,85.0,129.0,20470.0,29554.0,4,950
workloada,baseline,6759.0,14795.088030773783,20508.0,68.63136337039204,46.0,35391.0,94.0,134.0,20508.0,29462.0,4,950
workloada,alaska,6035.0,16570.008285004144,20393.0,61.08439170303536,46.0,13719.0,88.0,127.0,20393.0,29477.0,8,950
workloada,baseline,7029.0,14226.774790155072,20677.0,70.99526043429898,48.0,35487.0,98.0,132.0,20677.0,29171.0,8,950
workloada,alaska,6370.0,15698.587127158557,20605.0,63.36593059936909,47.0,2597.0,96.0,148.0,20605.0,29460.0,16,950
workloada,baseline,6140.0,16286.644951140066,20421.0,62.936535918907005,45.0,30383.0,87.0,144.0,20421.0,29449.0,16,950
workloada,alaska,6112.0,16361.256544502618,20660.0,61.18078412391094,45.0,2627.0,90.0,127.0,20660.0,29398.0,32,950
workloada,baseline,5869.0,17038.67779860283,20493.0,58.207875860049775,44.0,4175.0,88.0,124.0,20493.0,29503.0,32,950
workloada,alaska,5934.0,16852.039096730703,20641.0,59.424107359139576,45.0,4619.0,88.0,127.0,20641.0,29424.0,1,1050
workloada,baseline,6888.0,14518.002322880371,20430.0,69.05482134116495,47.0,22223.0,96.0,135.0,20430.0,29517.0,1,1050
workloada,alaska,6104.0,16382.699868938402,20389.0,61.36936583451861,47.0,4691.0,91.0,126.0,20389.0,29489.0,2,1050
workloada,baseline,6680.0,14970.059880239522,20391.0,65.72115148840174,44.0,907.0,89.0,127.0,20391.0,29401.0,2,1050
workloada,alaska,5934.0,16852.039096730703,20665.0,61.376772320348415,46.0,22319.0,83.0,128.0,20665.0,29169.0,4,1050
workloada,baseline,6680.0,14970.059880239522,20646.0,66.38699990312894,45.0,1327.0,95.0,126.0,20646.0,29341.0,4,1050
workloada,alaska,6655.0,15026.296018031555,20441.0,67.8412015067756,48.0,36607.0,94.0,152.0,20441.0,29554.0,8,1050
workloada,baseline,6905.0,14482.259232440261,20482.0,69.00541939263744,49.0,14711.0,92.0,126.0,20482.0,29327.0,8,1050
workloada,alaska,7323.0,13655.605626109518,20524.0,75.2729487429351,49.0,29087.0,95.0,140.0,20524.0,29464.0,16,1050
workloada,baseline,6239.0,16028.209648982209,20561.0,61.56281309274841,45.0,793.0,96.0,147.0,20561.0,29525.0,16,1050
workloada,alaska,6370.0,15698.587127158557,20326.0,63.85457050083637,44.0,3149.0,91.0,135.0,20326.0,29414.0,32,1050
workloada,baseline,6581.0,15195.2590791673,20419.0,67.15191733189677,45.0,35647.0,99.0,133.0,20419.0,29600.0,32,1050
