workload,name,RunTime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=ERROR,threads,interval
workloada,baseline,9234.0,10829.542993285684,20734.0,94.03433973184141,39.0,33567.0,113.0,152.0,20734.0,29573.0,32,850
workloada,alaska,9621.0,10393.929944912172,20651.0,96.60355430729747,61.0,5063.0,134.0,157.0,20651.0,29398.0,1,950
workloada,baseline,10370.0,9643.201542912248,20459.0,105.88142137934405,57.0,33951.0,126.0,169.0,20459.0,29484.0,1,950
workloada,alaska,10765.0,9289.363678588017,20408.0,109.75249901999216,49.0,27839.0,129.0,155.0,20408.0,29405.0,2,950
workloada,baseline,7759.0,12888.258796236629,20587.0,77.12906202943606,45.0,21599.0,116.0,131.0,20587.0,29516.0,2,950
workloada,alaska,11129.0,8985.533291400845,20498.0,111.8721338667187,52.0,7183.0,131.0,157.0,20498.0,29319.0,4,950
workloada,baseline,11434.0,8745.845723281442,20555.0,116.51831671126247,60.0,33951.0,131.0,183.0,20555.0,29221.0,4,950
workloada,alaska,10530.0,9496.67616334283,20591.0,106.41790102471954,41.0,21407.0,129.0,163.0,20591.0,29432.0,8,950
workloada,baseline,11203.0,8926.180487369455,20511.0,111.01018965433182,50.0,1683.0,130.0,157.0,20511.0,29522.0,8,950
workloada,alaska,9688.0,10322.04789430223,20596.0,97.36701301223539,43.0,3307.0,120.0,160.0,20596.0,29466.0,16,950
workloada,baseline,10075.0,9925.558312655086,20539.0,101.8162033205122,39.0,32927.0,134.0,167.0,20539.0,29532.0,16,950
workloada,alaska,11898.0,8404.773911581779,20620.0,119.30126091173618,38.0,3491.0,144.0,186.0,20620.0,29374.0,32,950
workloada,baseline,11928.0,8383.635144198524,20441.0,118.39728976077491,81.0,4703.0,132.0,168.0,20441.0,29628.0,32,950
workloada,alaska,11122.0,8991.188635137565,20412.0,112.73775230256712,44.0,21487.0,136.0,191.0,20412.0,29568.0,1,1050
workloada,baseline,11995.0,8336.807002917882,20656.0,119.49753098373354,45.0,624.0,146.0,189.0,20656.0,29436.0,1,1050
workloada,alaska,9530.0,10493.17943336831,20600.0,96.87480582524272,50.0,33279.0,115.0,150.0,20600.0,29687.0,2,1050
workloada,baseline,10142.0,9859.988168014199,20470.0,100.30449438202247,45.0,1582.0,126.0,152.0,20470.0,29468.0,2,1050
workloada,alaska,9464.0,10566.356720202873,20393.0,95.69720001961457,48.0,21151.0,115.0,150.0,20393.0,29520.0,4,1050
workloada,baseline,9749.0,10257.462303826034,20545.0,98.09505962521294,54.0,33407.0,118.0,155.0,20545.0,29569.0,4,1050
workloada,alaska,10643.0,9395.84703561026,20442.0,107.4523529987281,41.0,27999.0,131.0,159.0,20442.0,29461.0,8,1050
workloada,baseline,10395.0,9620.00962000962,20709.0,102.8377034139746,40.0,793.0,129.0,172.0,20709.0,29276.0,8,1050
workloada,alaska,9448.0,10584.250635055037,20776.0,95.99494609164421,40.0,33919.0,119.0,143.0,20776.0,29710.0,16,1050
workloada,baseline,10354.0,9658.103148541626,20423.0,103.85217646770798,41.0,26719.0,124.0,164.0,20423.0,29578.0,16,1050
workloada,alaska,10960.0,9124.087591240876,20484.0,110.77411638351884,42.0,19327.0,133.0,167.0,20484.0,29417.0,32,1050
workloada,baseline,9003.0,11107.408641563923,20614.0,90.31376734258271,38.0,2319.0,123.0,147.0,20614.0,29500.0,32,1050
