workload,name,RunTime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=ERROR,threads,interval
workloada,baseline,4456.0,22441.65170556553,20715.0,43.3281679942071,30.0,635.0,51.0,90.0,20715.0,29196.0,32,350
workloada,alaska,4822.0,20738.28287017835,20285.0,49.19285186098102,35.0,18271.0,54.0,81.0,20285.0,29661.0,1,450
workloada,alaska,3714.0,26925.148088314487,20617.0,38.246932143376824,26.0,22911.0,45.0,77.0,20617.0,29485.0,1,450
workloada,baseline,4167.0,23998.080153587714,20439.0,40.68599246538481,32.0,770.0,55.0,89.0,20439.0,29249.0,1,450
workloada,baseline,4731.0,21137.18030014796,20524.0,46.03586045605145,33.0,437.0,59.0,91.0,20524.0,29568.0,1,450
workloada,alaska,3282.0,30469.226081657525,20533.0,33.48000779233429,25.0,22767.0,42.0,76.0,20533.0,29433.0,2,450
workloada,alaska,3455.0,28943.56005788712,20507.0,35.31954942214853,26.0,18559.0,52.0,93.0,20507.0,29435.0,2,450
workloada,baseline,3210.0,31152.64797507788,20678.0,31.620224393074764,25.0,8247.0,40.0,81.0,20678.0,29333.0,2,450
workloada,baseline,4858.0,20584.60271716756,20610.0,48.23221737020864,32.0,18463.0,54.0,87.0,20610.0,29364.0,2,450
workloada,alaska,4624.0,21626.29757785467,20597.0,46.35247851628878,26.0,14431.0,52.0,85.0,20597.0,29364.0,4,450
workloada,alaska,3315.0,30165.912518853696,20571.0,33.15016285061494,26.0,5947.0,42.0,70.0,20571.0,29459.0,4,450
workloada,baseline,4593.0,21772.26213803614,20526.0,45.519584916691024,35.0,14239.0,57.0,93.0,20526.0,29455.0,4,450
workloada,baseline,4809.0,20794.343938448743,20627.0,48.3639889465264,36.0,22751.0,52.0,78.0,20627.0,29533.0,4,450
workloada,alaska,3598.0,27793.218454697053,20513.0,36.129527616633354,27.0,18607.0,50.0,92.0,20513.0,29493.0,8,450
workloada,alaska,4030.0,24813.89578163772,20288.0,40.60311514195583,32.0,21455.0,51.0,82.0,20288.0,29651.0,8,450
workloada,baseline,3987.0,25081.514923501378,20310.0,39.732693254554405,32.0,14391.0,50.0,90.0,20310.0,29571.0,8,450
workloada,baseline,4103.0,24372.410431391665,20570.0,40.14910063198833,32.0,566.0,49.0,86.0,20570.0,29393.0,8,450
workloada,alaska,4121.0,24265.95486532395,20602.0,41.44228715658674,32.0,14159.0,51.0,92.0,20602.0,29216.0,16,450
workloada,alaska,4207.0,23769.90729736154,20569.0,41.468812290339834,34.0,933.0,60.0,86.0,20569.0,29407.0,16,450
workloada,baseline,3629.0,27555.80049600441,20347.0,35.957241853835946,24.0,7431.0,49.0,83.0,20347.0,29694.0,16,450
workloada,baseline,4774.0,20946.79514034353,20496.0,47.27249219359875,24.0,14431.0,57.0,84.0,20496.0,29524.0,16,450
workloada,alaska,4230.0,23640.66193853428,20485.0,43.5156944105443,32.0,23087.0,58.0,82.0,20485.0,29431.0,32,450
workloada,alaska,4731.0,21137.18030014796,20516.0,47.4022226554884,31.0,14303.0,60.0,95.0,20516.0,29297.0,32,450
workloada,baseline,4188.0,23877.74594078319,20685.0,41.180759004109255,30.0,14295.0,51.0,78.0,20685.0,29424.0,32,450
workloada,baseline,4020.0,24875.621890547263,20485.0,40.770515010983644,31.0,22751.0,49.0,78.0,20485.0,29453.0,32,450
workloada,alaska,5000.0,20000.0,20515.0,49.24669753838655,34.0,1544.0,63.0,94.0,20515.0,29473.0,1,550
workloada,alaska,4460.0,22421.52466367713,20650.0,43.503099273607745,33.0,1695.0,53.0,80.0,20650.0,29616.0,1,550
workloada,baseline,4114.0,24307.243558580456,20633.0,40.10047012068046,33.0,468.0,50.0,79.0,20633.0,29363.0,1,550
workloada,baseline,4342.0,23030.86135421465,20300.0,42.01866995073892,32.0,841.0,50.0,89.0,20300.0,29776.0,1,550
workloada,alaska,4214.0,23730.422401518746,20445.0,41.749327463927614,26.0,9303.0,56.0,91.0,20445.0,29449.0,2,550
workloada,alaska,3562.0,28074.11566535654,20430.0,36.71771904062653,27.0,22367.0,50.0,78.0,20430.0,29433.0,2,550
workloada,baseline,4707.0,21244.954323348204,20550.0,45.839854014598544,26.0,943.0,56.0,90.0,20550.0,29504.0,2,550
workloada,baseline,4152.0,24084.778420038536,20681.0,40.22344180648905,24.0,543.0,49.0,73.0,20681.0,29359.0,2,550
workloada,alaska,4798.0,20842.017507294706,20486.0,47.20731231084643,27.0,1868.0,57.0,85.0,20486.0,29497.0,4,550
workloada,alaska,4443.0,22507.314877335135,20508.0,44.90618295299395,34.0,22063.0,60.0,89.0,20508.0,29366.0,4,550
workloada,baseline,4645.0,21528.525296017222,20398.0,45.847043827826255,26.0,14455.0,53.0,85.0,20398.0,29455.0,4,550
workloada,baseline,3263.0,30646.644192460924,20344.0,32.492233582383015,24.0,14335.0,42.0,75.0,20344.0,29703.0,4,550
workloada,alaska,3769.0,26532.236667551075,20596.0,37.095843853175374,27.0,1577.0,56.0,81.0,20596.0,29728.0,8,550
workloada,alaska,3474.0,28785.261945883707,20668.0,35.30762531449584,27.0,19503.0,46.0,90.0,20668.0,29640.0,8,550
workloada,baseline,4076.0,24533.85672227674,20513.0,40.12918636961927,26.0,15695.0,51.0,82.0,20513.0,29314.0,8,550
workloada,baseline,3858.0,25920.16588906169,20494.0,37.31316482873036,26.0,535.0,53.0,80.0,20494.0,29483.0,8,550
workloada,alaska,3923.0,25490.69589599796,20291.0,39.6607362870238,27.0,12671.0,53.0,89.0,20291.0,29498.0,16,550
workloada,alaska,3509.0,28498.147620404674,20707.0,36.40565992176558,26.0,22527.0,53.0,89.0,20707.0,29531.0,16,550
workloada,baseline,4230.0,23640.66193853428,20685.0,41.37974377568286,31.0,572.0,57.0,81.0,20685.0,29274.0,16,550
