workload,name,RunTime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=ERROR,threads,interval
workloada,alaska,4132.0,24201.35527589545,20608.0,41.22743594720497,27.0,1758.0,56.0,79.0,20608.0,29449.0,2,950
workloada,baseline,4019.0,24881.81139586962,20434.0,40.730351375159046,31.0,18991.0,50.0,73.0,20434.0,29259.0,2,950
workloada,alaska,3280.0,30487.80487804878,20412.0,32.620860278267685,26.0,1641.0,42.0,86.0,20412.0,29615.0,4,950
workloada,baseline,4332.0,23084.025854108957,20480.0,42.809521484375,26.0,18511.0,58.0,87.0,20480.0,29397.0,4,950
workloada,alaska,4943.0,20230.629172567267,20507.0,49.444141025015846,27.0,14359.0,58.0,82.0,20507.0,29331.0,8,950
workloada,baseline,4272.0,23408.239700374532,20576.0,42.91611586314153,25.0,22815.0,54.0,78.0,20576.0,29496.0,8,950
workloada,alaska,3957.0,25271.670457417236,20372.0,40.6707736108384,26.0,22815.0,53.0,80.0,20372.0,29549.0,16,950
workloada,baseline,4139.0,24160.425223483933,20528.0,40.80085736554949,30.0,6299.0,49.0,87.0,20528.0,29229.0,16,950
workloada,alaska,3529.0,28336.639274582034,20424.0,36.967244418331376,27.0,23391.0,59.0,82.0,20424.0,29406.0,32,950
workloada,baseline,4165.0,24009.603841536613,20332.0,41.232195553806804,32.0,12071.0,52.0,89.0,20332.0,29575.0,32,950
workloada,alaska,4335.0,23068.05074971165,20580.0,42.99149659863946,32.0,1653.0,55.0,85.0,20580.0,29494.0,1,1050
workloada,baseline,3791.0,26378.26431020839,20603.0,38.07576566519439,24.0,22671.0,50.0,70.0,20603.0,29369.0,1,1050
workloada,alaska,3444.0,29036.004645760742,20378.0,35.12022769653548,27.0,22655.0,48.0,71.0,20378.0,29511.0,2,1050
workloada,baseline,4127.0,24230.6760358614,20638.0,40.55838744064347,30.0,445.0,54.0,81.0,20638.0,29626.0,2,1050
workloada,alaska,3906.0,25601.63850486431,20741.0,38.48570464297768,27.0,525.0,52.0,77.0,20741.0,29473.0,4,1050
workloada,baseline,4095.0,24420.02442002442,20478.0,40.89593710323274,26.0,22687.0,54.0,91.0,20478.0,29786.0,4,1050
workloada,alaska,4667.0,21427.04092564817,20444.0,46.047544511837216,33.0,1679.0,55.0,93.0,20444.0,29359.0,8,1050
workloada,baseline,4167.0,23998.080153587714,20431.0,40.52356712838334,31.0,424.0,51.0,88.0,20431.0,29571.0,8,1050
workloada,alaska,4422.0,22614.20171867933,20644.0,43.904766518116645,26.0,8119.0,56.0,89.0,20644.0,29370.0,16,1050
workloada,baseline,3817.0,26198.585276395075,20545.0,38.09914821124361,24.0,22879.0,49.0,91.0,20545.0,29560.0,16,1050
workloada,alaska,4764.0,20990.764063811923,20400.0,47.997843137254904,34.0,22895.0,56.0,90.0,20400.0,29490.0,32,1050
workloada,baseline,4152.0,24084.778420038536,20493.0,41.07202459376372,33.0,8099.0,55.0,95.0,20493.0,29534.0,32,1050
